AcademicYear,Cohort 1,Cohort 2,Cohort 3
2016/17,Year 13,NA,NA
2015/16 ,Year 12 ,Year 13,NA
2014/15 ,Year 11 ,Year 12 ,Year 13
2013/14 ,Year 10 ,Year 11 ,Year 12 
2012/13 ,Year 9 ,Year 10 ,Year 11 
2011/12 ,Year 8 ,Year 9 ,Year 10 
2010/11 ,Year 7 ,Year 8 ,Year 9 
2009/10 ,Year 6 ,Year 7 ,Year 8 
2008/09 ,Year 5 ,Year 6 ,Year 7 
2007/08 ,Year 4 ,Year 5 ,Year 6 
2006/07 ,Year 3 ,Year 4 ,Year 5 
2005/06 ,Year 2 ,Year 3 ,Year 4 
2004/05 ,Year 1 ,Year 2 ,Year 3 
2003/04 ,NA,Year 1 ,Year 2 
2002/03 ,NA,NA,Year 1 
